Tweet,Label
#BesokSenin kangen sekolah maksdnya kangen di kasih uang jajan.😀 https://t.co/nRZv6hilBW,-1
"#BesokSenin berangkat sekolah, rasanya ah ya sudah lah berangkat saja mau gimana lagi",1
"Besok Senin 
Kangen upacara di sekolah ga si?
Suka deg2an klo jadi petugas, pernah pingsan karena kelamaan, suka kelupaan atribut sampe harus dihukum
Semua itu hal yang gak bisa diulang:)
Cukup dikenang saja
#besoksenin",-1
"Tau tau #BesokSenin . Semangat yang sekolah online. Karena seorang  pengangguran ga peduli hari,yang penting idup udah Alhamdulillah.",1
"Sebelum besok mulai sekolah mau share karya lama dulu ahhh ╮(. ❛ ᴗ ❛.)╭ abis ini mau lanjut nge wip lagi wkwkwkw (~￣³￣)~
#Artdn #ArtistOnTwitter #ZonaKaryaId #BesokSenin https://t.co/UYPWhuFB6V",1
"Pemerintah :
Awal januari sekolah mulai dibuka, dan para siswa siswi sudah bisa belajar tatap muka disekolah, dengan mengedepankan protokol kesehatan
.
.
.
.
.
Tapi boong hahaayyyy papalepapale
#BesokSenin",1
#BesokSenin kalian besok SEKOLAH online or offline?,-1
"Udh pada siap bangun pagi lagi? 
Jangan lupa absen yaa

#BesokSenin #sekolah",1
"anda rindu sekolah?
anda bukan golongan saya:v

#sekolah #rindusekolah #senin #BesokSenin #nolep #daringlagi",-1
"Bayangin lu besok sekolah dan temen-temen lu udah pada glowup sedangkan lu:')
 
#BesokSenin",1
"Besok Senin eh gajadi tatap muka di sekolah
Rasa hati senang : rebahan di rumah
Rasa hati tercekik : kangen uang jajan yg udah lama ldr.
#BesokSenin https://t.co/P6DwY1njEU",1
Yaalloh doaku sewaktu kecil biar sekolah libur setahun dikabul tahun ini.Dan ternyata membosankan #besoksenin,1
"Pak @nadiemmakarim saya mau masuk sekolah, ngk mau sekolah online memory penuh otak kosong Ama sekolah online pak. Ngk ngerti ama pelajaran pak, mana bulan besok ujian semester pak(⊙_◎)
#BesokSenin",-1
"#besoksenin beberapa daerah dah mulai sekolah tatap muka

terlalu bersemangat, masih ngiler dah berangkat cekulah ✨ https://t.co/sPb6XpFt1G",1
Kangen suasana sekolah #besoksenin,-1
#besoksenin libur sekolah https://t.co/Uwa3V2Ylnx,1
"#BesokSenin, jangan pada lupa sekolah ye https://t.co/QwZoW3BI3Y",1
"Abang listrik lama uy benerinya, udah:
- gelap
- panas
- batre hp abis
- #BesokSenin 
Alarm gak bunyi siap siap sekolah telat nih.",-1
"Dulu waktu masih sekolah pasti kesel kalo #BesokSenin karena selain upacara ada mapel MTK 3jam, skrg kesel bangun tidur ternyata kenyataan masih gitu2 aja ☹️",-1
"Besok Senin ya #BesokSenin yuk sekolah lagiii
#MutualanIG #Mutualankuy #mutualan #mutualanyuk #MutualMilenial #MutualanAjaDulu #smkhebat https://t.co/zHDbo9kMdJ",1
ew udah capee bgtttt sekolah onlen #BesokSenin https://t.co/l9XuICo47A,-1
"Senin yang kucinta...

Video by faizzfr17 Zetizen Banten Tiktokers 2020

.

#iamzetizen #iamzetizenbanten #zetizenbantentiktokcompetition #senin #sekolah #besoksenin #young #banten @ Serang https://t.co/3y1Aa2qW3D",-1
"Ngerasain subuh/paginya senin sekarang ,sama jaman waktu masih sekolah. beda bgt wkw. biasa hate bgt denger #BesokSenin ,sekarang? eh malah lupa kalo hari ini hari senin.",-1
"Mikirin #besoksenin males banget deh. Besok pagi kudu berangkat pagi2 nganterin anak ke sekolah, krn dia ada jadwal ulangan harian. Terus kudu ke bengkel ambil mobil. Plus kerjaan rumah gak brenti2, ditambah kerjaan lainnya yg sudah waiting list 😔
Pengen tidur aja deh seharian",-1
"Waktu jaman sekolah,  pada benci #besoksenin karna senin hari dimana pada upacara bendera. Gue sih salut sama orang2 yang datang kesini jiwa Nasionalisnya tinggi. Tapi please jaga kesehatan aja. Protokol kesehatannya jgn dilupakan. Terus nasionalis gini ya, sampe anak cucu. https://t.co/cmI4KTWUos",1
"Temen"" gua yang dulu waktu sekolah bandel"" and nakal"", sekarang banyak yang udah sukses. Nah terus ada juga yang sekolah rajin, nilainya bagus"" tapi masih aja banyak yang nganggur. 
Mungkin apa ini y disebut nilai tidak menentukan segalanya...?

#BesokSenin 
#CatatanJuang #",1
"Waktu masa sekolah (SD-SMA), malam SENIN itu berasa banget ""feel"" nya ""deg2an"" nya dapet...😝😝.. kalo pas kuliah B aja...gatau knp #BesokSenin",1
"Lucu tayqq, cuma dijadiin last cht aj, udah nge cht trus di read, ga dijawab jawab, itu maksud nya apa coba? Hee tyq lah, #BesokSenin ga sekolah juga, ga dpt jumpa, kalo jumpa.. His.. Cewe cewe:v https://t.co/oGeh9fxmCA",1
"Mikirin #besoksenin sungguh gak semangat, kebayang besok banyak kerjaan banget. Mulai dari beberes rumah, bikin MPASI, virtual confrence, beresin blog, narend sekolah online lg. Karena kepalaku lg nyut2an skrg, jadi mungkin itu faktor penyebabnya besok jd gak semangat.",-1
#besoksenin  finish libur sekolah anjir https://t.co/Amvn8cmNVn,1
"Hmmm...besok Senin tiba #SahabatKIKO ☺
Ada yang kangen suasana sekolah gak? 😇 

#BesokSenin #MasihWFH #KangenSekolah #KangenAktivitas #KangenSahabat #KangenGuru #KangenMainBersama #KIKOAnimation https://t.co/El4oQ0LPQO",-1
"jadi gua barusan dengerin guru njelasin
dan sumpah gua ketiduran 😃
ngantuk banget demi apapun:""
ada yang kaya gitu ngga?
hiks:(
#sekolah #sekolahonline #daring #rebahan #besoksenin",1
"@Kemdikbud_RI #BesokSenin berangkat sekolah ajaran baru, semangat!",1
#BesokSenin guru2 upacara di sekolah #Live FB&amp;instagram. Murid2 ikut upacaranya dirumah aja ya 😁 @PBPGRI_OFFICIAL @Itjen_Kemdikbud,1
"Besok senin adalah #TahunAjaranBaru, banyak banget hal yg beda.
1. Ga ada upacara pembukaan tahun ajaran baru.
2. Ga ada tuh mpls adkel kek kita2 wkwk.
3. Ga bisa lihat gedung sekolah yg udah direnovasi:v
4. Ga bisa ngerecokin barang baru temen2. 
Apa lagi ya?
#BesokSenin",1
"13 juli sekolah lagi 
Jadi kaka kelas dong
#SetorFotoBW #besoksenin #TahunAjaranBaru https://t.co/PfDDoHCoCG",1
"Oh hari senin ya gak ada kuliah gak ada sekolah, selamat rebahan jangan lupa cara nulis di kertas ya #BesokSenin",1
"Asik #BesokSenin sekolah
Eh iya lupa kita kan masih diliburkan:(",1
percuma #BesokSenin kalo belum cekulah ah pengen sekolah 😭,-1
Pen bikin keluhan soal #besoksenin tapi udh kgk sekolah 🙄,-1
"Lebih bagus kalo sekolah tidak diliburkan*""
.
.
.
.
#smkn1mjlk #stemanika #stemanikahits #majalengka #besoksenin #infomajalengka @ SMKN 1 Majalengka https://t.co/9oyNMrLrVf",1
"#BesokSenin  sekolah masih libur,,, jadi sama aja kayak hari tadi.. gabudnya paling ga ada bedanya..",-1
"Always remember
Belajar itu tdk harus di sekolah / kampus

Jangan patok dirimu hanya sebatas kurikulum  saja, juga ""kemampuan orangtua mu""

Up ur skill
Find that way u wanted AF
#besoksenin , rise &amp; shine people",1
"Bodo amat besok senin kan ngga sekolah 😆
#BesokSenin",-1
"Suruh anak tidur cepet biar bisa bangun pagi,siapin perlengkapan sekolah isi tas,dasi,topi,ikat pinggang,besok upacara #BesokSenin ekh lupaa kalau masih libur 🤣🤣🤣",1
""" Besok Senin ,Jangan lupa besok sekolah "" rindu kata"" sprti itu 😢
#BesokSenin",1
"Mau tanya dong kepada anak - anak sekolah SMA / SMK kira² gimana nasib buku dan pensil kalian sekarang ? 
#BesokSenin",1
"#BesokSenin
Sarapan ntar jadi petugas upacara 
Kangen sekolah woe😭 https://t.co/q0PGPJcjG4",-1
Mau ngumpulin temen yang sekolah di suwasta #BesokSenin https://t.co/CFHKo6mODg,1
"Waktu belum dilanda covid19
Anjir besok senen males banget gua sekolah apalagi upacara 

Sesudah dilanda covid19
Astaga besok senen pengen sekolah banget woiiiii, apalagi upacara sambil becanda ria sama temen di barisan paling belakang 😭

#BesokSenin",1
"Kangen ngeliat cogan cogan yang ada di sekolah

 #BesokSenin",-1
"Selama sekolah baru ini gua ngerasain pen bgt sekolah, apalagi hari senen. #BesokSenin",1
Rindu sekolah #besoksenin #StayatHome https://t.co/1eVNRbVlUe,-1
kelamaan dirumah sampe gainget kalo #BesokSenin sekolah yukkkkkk :( https://t.co/h9WE1bVVDz,-1
"#BesokSenin pas masih sekolah malaes banget hari Senen buat upacara , skrg kok kangen ,",-1
"Saat sekolah hari senin adalah hari yang tidak aku suka tapi sekarang aku benar"" merindukan hari ini  😥 
#BesokSenin 
#kumpulbareng
#tertawabersama",-1
"gaya""an sok kangen sekolah, sampe sekolah juga bolos ke PS'an,, maen ke warnet dengan keuwuan demi something just enak"" doang,.,.,. asww tu kalian,.,.,. 
#bacotsantuy #PesanSambat #BesokSenin #passthebrushchallange #TheTruthUntold #ImpeachmentJokowi",1
"Sampe lupa besok senin.
Udah harus masuk.
Sekolah lagi.
Ketemu temen"" lagi.
Canda tawa.
Ketemu doi.
Ketemu guru killer.
Bu kantin yang murah hati.
Untuk dikasbon hehe.

Haha 
Hayalan beberapa tahun lalu

#besoksenin",1
"Sebelum corona menyerang :: yah besok senin udah masuk sekolah..
Setelah corona menyerang :: besok hari apa yah #BesokSenin",-1
Kangen sekolah😪 #BesokSenin https://t.co/GgNPjou2y2,-1
#BesokSenin gak sekolah tetep aja dapet tugas online:(,-1
"Pas masih sekolah, foto juga PD aja walaupun ga pake kamera jahat 😄 #selfiedirumah #BesokSenin #dirumahaja https://t.co/XIvCiHX72d",1
"Kangen gak makan gorengan sambil minum es teh dikantin sekolah 
#BesokSenin",-1
#besoksenin giliran ga sekolah kangen upacara bendera. Giliran sekolah upacara bendera aja sampe bolos ke UKS atau kantin.,-1
"#besoksenin 
Anak sekolah 2020
- udah ga ngerasain lagi upacara
- udah ga ngerasain lagi telat dihukum hormat bendera padahal kepalanya nunduk
- udah ga ngerasain lagi free class 
- isi sendiri",-1
#besoksenin pengen sekolah https://t.co/S0eavGXj7d,1
"Tidoorr woy inget besok senin terus sekolah!!

Eh lupa kalo udah lulus!
Bagaimana perasaan klean angkatan 2020?🙂  
 #BesokSenin",1
"pas masuk sekolah nanti, gw penasaran guru bahasa bakal nyuruh kita ceritain pengalaman selama dirumah ga yaa?
klo iya, gw mungkin jadi siswa yg ceritany paling pendek, karena hanya nulis ""rebahan"" hehe :)  #BesokSenin",1
"#BesokSenin hahh apa?? ohh senin. gapapa toh ga sekolah, hehe

rebahan juga ujung"" nya :)",1
"#BesokSenin bangun ajg buru prepare ke sekolah upacara,topi sama dasi nya jangan lupa dibawa ya https://t.co/W3PjYNRGw4",1
"#BesokSenin jangan lupa berangkat sekolah buat upacara...:(, 
Eh lupa masih dgan sekolah online.. https://t.co/GWQTIoOuop",1
"kemarin2 mungkin km kesel kan karna besokk senin, sekolah, upacara, PR, belajar. 

eh skrg sejak di liburkan jd kangen kann sm rutinitas #BesokSenin

:""))))",-1
Jadi rindu sekolah:( #BesokSenin #anaksma https://t.co/qUheduOYk4,-1
"#BesokSenin ya tetep sekolah :),emang lu sekolah bapak kau libur.",1
"Kamu sama jaman sekolah aku tu sama ya....
Sama"" ngangenin!

#BesokSenin",-1
Pengen cepet-cepet sekolah lagi upacara lagi biar bisa liatin mas crush wkwk #BesokSenin https://t.co/OH4BETZSPB,1
"#besoksenin
Nyesel juga pas sekolah dulu kurang bar - bar, anak nya kalem sih. Hmm",-1
#BesokSenin we kesel mau sekolah kagak bisa🙄 udah kelar ceritaNye🤣bukan ragara Corona mah🤣 https://t.co/BOFuEBueTb,-1
#BesokSenin yang masih sekolah kangen upacara nggak?,-1
"#BesokSenin
mau ngingetin kaos kaki, topi buat apacara ,,,, eh iya kan udh pada kaga sekolah lagi,,,, libur kan https://t.co/0REXwtQ1ba",1
"#BesokSenin Lupa kalo kita gk sekolah 😭
Padahal mau nyiapin topi buat upacara https://t.co/IGCvJAuVcE",-1
"Ya Allah pengen masuk sekolah
Tapi males 

#BesokSenin",-1
"#BesokSenin ya doain ya smoga Ujian Sekolah gw lancar😂🙏
#DiRumahAjaYa #UjianSekolah #doakansahabat #IndonesiaKembaliPulih",1
"#BesokSenin ????!!! 
tapi ga sedeg degan dulu pas masi sekolah, karna uda tiap hari, hari minggu.",-1
"#BesokSenin biasanya males malesan karena besok sekolah, tapi alhamdulillah berkat corona saya segar bugar",1
Aduh jadi inget masa mana konyol di sekolah 😂 #BesokSenin https://t.co/Vv6r7v8c8s,-1
"#BesokSenin
Pengen sekolah😭😭 https://t.co/CuZuCXXqMu",1
"Mungkin besok hari senin yang membosankan bagi kita jika sekolah,tetapi bsk akan menjadi hari senin yang sangat membosankan karena tidak sekolah #covi19 #BesokSenin",-1
#BesokSenin masih libur wabah ini belum berakhir. Kantor dan pabrik juga masih banyak yang tutup. Ngojek juga sepi. Sekolah juga masih libur. Ga ada bedanya. Ga usah sok sok an sibuk.,-1
#BesokSenin  sekolah online lagi dongg https://t.co/6l2IpDJhvj,1
"Biasanya saat ini sedang riuhnya teman² yg mempersiapkan pelajaran untuk besok sekolah..

Tapi sekarang? 
Tidak terdengar sedikitpun hal semacam itu, kita hanya dipusingkan oleh setumpuk tugas yg tak kunjung dikerjakan

#BesokSenin",1
Kangen ngeluh besok sekolah #BesokSenin,-1
"#BesokSenin ya ? Kangen dia yang di sekolah, iyah guru",1
"#BesokSenin inget lagi waktu SMA pas juga baru pacaran, sumpah semangat banget mau berangkat ke sekolah",1
Tapi ga sekolah horee #BesokSenin https://t.co/L1E2W3RmfR,-1
Maaak buru maaak masak dari sekarang buat besok Miki bekel sekolah! #besoksenin #lupalibur #panik https://t.co/oR7i4UcylM,-1
#BesokSenin dan tetap belum masuk sekolah padal dah rindu men temen huhu,1
"#BesokSenin bodo amat masih libur sekolah ini, rebahan dulu aja dahh nyantuy https://t.co/XPy7JYdLJ5",1
"Sekolah prei?push rank? Boro boro tugas ku masih segudang cok
#BesokSenin https://t.co/fDZEqfbAhb",1
"#BesokSenin meskipun tidak bekerja, sekolah atau kuliah, tapi tetep aja menakutkan, soalnya resiko kematiannya lebih tinggi #COVID19indonesia #CoronaIndonesia #dirumahaja",-1
"senin adalah waktunya kembali. kembali untuk kerja, sekolah ataupun yang lain. mungkin dibenci dengan kesibukan tapi tak mungkin menghilangkannya. tapi kali ini akankah tetap menjadi #seninrebahan atau kembali kerumah tempat memulai semuanya. #BesokSenin",-1
"Andaikan besok berangkat sekolah, pasti dapet uang jajan nih😴

#BesokSenin",1
#BesokSenin adalah hari yg aku dan kita semua rindukan utk kembali sekolah😭,-1
"#BesokSenin kangen sekolah, klo libur gabisa ketemu mas crush, lama"" bosen jg rebahan dirumah, huuhhh.. https://t.co/JCZ0CHjS9T",-1
"ingat #BesokSenin, dan harus ingat ini liburan paling lama buat anak sekolah, pegawai negeri dan sebagian karyawan swasta,

buat tim medis dan para penjaga keamanan tetap semangat, pengorbanan mu akan membawah hasil terbaik.",1
"#BesokSenin aku sekolah lagiiii

Tp boong:) https://t.co/eiNw3QI2lX",-1
"Muka kalo #BesokSenin belum ngerjain tugas + males masuk sekolah, sekarang malah biasa aja mu hari senin sampe minggu juga bodo amat. Absen dionline, tugaspun dionline Aghh muakk. Mu sampe kapan nii jangan bilang kalo lulus dirumahaja. https://t.co/6Ph8mW86y7",-1
Cie yg msh sekolah ga bingung nyari pinjeman dasi sama topi. #BesokSenin,1
#BesokSenin ayooo sekolah yo humm https://t.co/OQw3cYR82N,1
Masih sanggup terima tantangan main guru-guruan kok.. yuk mana tugas sekolah... sini sini belajar sama mama #besoksenin https://t.co/fp501s6iTd,1
"Besok senin oyyyyy 
Pergi ke sekolah sih kagak tapi belajar online ttp jalan wk
#BesokSenin",1
"Pelajar yg biasanya ngeluh  #BesokSenin karena sekolah, selama karantina ini akan ngeluh karena makalah",-1
"Hal yg di kangenin kalau hari Senin tuh, bangun pagi pas mau berangkat sekolah bingung cari topi sama dasi ,biar gak dihukum di depan lapangan.
Sekarang kalau Senin cari duit.
#BesokSenin",1
"Masih kah ada yg komunikasi baik dengan teman2 alumni sekolah???
Eh #BesokSenin semangatt!!!! https://t.co/lwqlhWnvDn",1
"Giliran libur pengen sekolah,ehh giliran sekolah pengen libur,dasar idiot #pengensekolah
#BesokSenin",-1
"#BesokSenin
Jadi kangen sekolah huuft
Sekarang cuma bisa #DiRumahAjaYa https://t.co/Q9bjdN95nt",-1
Jangan lupa #BesokSenin duh sampe lupa rasanya nyiapin anak sekolah di hari Senin.. yang sibuk.. yang nyiapin bekal 😊😊,1
"Biasanya sekarang lg ngeluh karena #BesokSenin males upacara, ditambah pelajarannya bikin ngantuk, eh skrang malah pengen upacara, kangen upacara, kangen sekolah, kangen semuanya😭 plis lah corona cepet ilang
#CoronaJancok #CoronavirusPandemic #lockdown",-1
"@AkunFreebie Done👍

Omkuh yuk ikutan sini kita ramein🙏😁💪🇮🇩👍☕

@AF__0504 
@samhudibae 
 
#BesokSenin 
Besok kerja, besok sekolah lagi😁 tapi Di Rumah aja ya🙏😁👍",1
Kalo sekolah mesti sebel sama hari senin tapi semenjak karantina ini semua hari ternyata menyenangkan wkwkwk #BesokSenin,1
ada yang kangen dengan sekolah gak nih? #BesokSenin https://t.co/wCRV15xCwZ,-1
#BesokSenin biasanya repot mau sekolah 😔,-1
"#BesokSenin pengen sekolah tapi udah lulus,gimana dong https://t.co/hbfxbGni97",1
#BesokSenin yang pernah sekolah jangan lupa besok upacara ya✌️ https://t.co/GRRQBYCSA2,1
"Libur sekolah gak nugas buat kejar nilai , malah kejar cacing nangkep ayam , gajah. Mau buka usaha kecil kecilan buat zoo mini dirumah

#BesokSenin  eh udah Senin sih https://t.co/PwCPpPnypf",1
"hari yang berbeda
-tidak lagi bangun pagipagi
-tidak lagi lari kesana kesini untuk sebuah topi 
-tidak lagi ngebut ketika berangkat sekolah karna takut telat 
-tidak lagi di hukum di depan semua anggota sekolah karna telat atau tidak rapih
SEMUA UDAH BERBEDA 
#BesokSenin",-1
Ada yang kangen ga? Eh maksudnya kangen masuk sekolah hehe #BesokSenin #StayAtHomeAndStaySafe #StayHome #staysafe #borcess https://t.co/K7if4qdg1D,-1
#BesokSenin dan besuk tidak sekolah 2020 emang gila sih,-1
"Oh iyah buat #BesokSenin kepada anak sekolah kls 3,besok selmat ujian online ,dan selamat  lulus menjadi generasi pada jaman corona hehe😀 https://t.co/olcL87GOTx",1
"Yaaahhh kasian, yang angkatan 2020 ngga bisa ngerasain yang namanya konvoi kelulusan dan coret² baju, cuman busa ngerasain suasana rindu sekolah wkwkwk
Yang sabar ya
.
.
Mungkin ada yang bikin acara sendiri
#BesokSenin",1
Sekarang anak sekolah udah jarang sambat soal #besoksenin karena akhir-akhir ini senin libor terosss.,1
#BesokSenin fak kangen guru bp ama satpam sekolah,1
"Kuliah hanya untuk mendapatkan selembar kertas yang di press!!!
.
Yakin?
Hm. . . .
Teman, ilmu, apa lagi ya?

#BesokSenin #sekolah #StayAtHomeAndStaySafe #EarthHour2020 #DirumahAjaCekalCorona",1
"Harusnya #BesokSenin sekolah,eh keundur gara-gara karlota:))",-1
"#BesokSenin kangen sekolah, kangen kamu, kamunya engga ☺️",-1
"Enak sekolah libur ngampus libur, coba kmu pikir aku kerja kek gini buat siapa lg coba? Ya buat cicilan motorku lah😭 #BesokSenin https://t.co/xwJjBls61r",1
#BesokSenin biasanya mah pd mls sekolah karna upacara tapi skrng seninnya cma rebahan sambil sekola online😭 kgn bgt sm lelucon dikelas(:,-1
"knp ya hari lebih cepat berlalu klo libur drpd klo tiap hari ada jadwal tetap ky sekolah ato kerja gitu
#BesokSenin",1
"#BesokSenin
Dear Corona
Kamu mengambil kesibukan hari senin ku untuk bergegas ke sekolah melaksanakan upacara..eh maaf udah lulus dong.SENIOR😁 https://t.co/yn5iFKPm7w",1
"#BesokSenin masih libur, sekolah onlen, tugas onlen, dee yo onlen tapi gak gae awakmu 😂🤭",1
"#BesokSenin yaa, siap siap sekolah",1
"Hoy ajing lo mau sekolah atau libur sih tai,dikasi libur ngeluh, kasi sekolah mau libur. Mau lo apa tai?

#BesokSenin",-1
"#BesokSenin 
Rindu sekolah, dimana kita bersama* ngeluh dengan terik matahari yang amat menyengat dikala upacara bendera:^ https://t.co/ZuIeSg3Nho",-1
"PAGI NANTI JANGAN TELAT SEKOLAH WANKAWAN! 

SEMANGAT UN NYA BAGI YANG MERAYAKAN 🙂 

kamu sesi berapa? lab komp. berapa? ambil pelajaran apa? 
#BesokSenin",1
"Lupha kalo sekolah masih libur.😂
#BesokSenin
#LockdownAtauMusnah 
#dirumahaja https://t.co/aRIhPuX5cl",-1
"#BesokSenin rebahan aja ah di rumah kyak anak sekolah, eh kagak yang ada gua dipotong gaji....",-1
"Bolehkah wabah ini cuma mimpi dan besok semua kembali jadi normal, anak-anak pergi sekolah, ibu-ibu pergi ke pasar, bapak bapak kembali berjualan, karyawan pergi ke kantor, dan diakhir minggu diskusi mau ngopi dimana? #BesokSenin",1
#BesokSenin santai sajalah sekolah dirumah🌚 https://t.co/lhruDoS8WC,1
#BesokSenin dan mulai nugas lagi fak. Pengen sekolah biasa aja.,1
"#BesokSenin Anak sekolah masih libur, tau-tau besok lulus jalur corona
Anak kuliahan juga masih libur, tau-tau besok lulus jalur corona juga
lalu, bagaimana dengan yang kerja? apakah tau-tau besok dapat gaji+bonus?😂",1
